name,a,age,alower,aupper,b,dec,density,densitylower,densityupper,ecc,fe,feh,felower,feupper,firstref,firsturl,k,kid,koi_star,logg,m,mass,masslower,massupper,mstar,mstarlower,mstarupper,mupper,orbref,orburl,per,r,ra,rho,rhostar,rlower,rprs,rstar,rstarlower,rstarupper,rupper,shk,source,teff,tefflower,teffupper,tt,ua,ub,udensity,ufe,ufeh,uk,ulogg,um,umass,umstar,ur,urho,urhostar,urstar,uteff,vmag,vsini,flux,uflux
41.03 ,0.21620659164231334,6.46,,,0.75,41:59:24 ,,,,,0.02,0.02,,,Borucki 2011,,-0.79,6521045.0,41,4.125,-4.36,,,,1.08,,,3.0,Marcy 2013,,35.3331,1.61,19:25:32.6 ,-5.72,0.44,,0.009926,1.49,,,,,AS   ,5825.0,,,86.98031,,0.01,,0.1,0.1,1.0,0.03,4.1,,0.06,0.05,6.0,0.01,0.04,75.0,11.2,3.7,49.05781991693048,
69.01 ,0.05341478160912771,5.05,,,0.2,38:40:20 ,,,,,-0.18,-0.18,,,Borucki 2011,,1.05,3544595.0,69,4.468,2.59,,,,0.91,,,6.1,Marcy 2013,,4.72674,1.5,19:25:40.3 ,4.17,1.64,,0.014927000000000001,0.92,,,,,AS   ,5669.0,,,67.9258,,0.02,,0.1,0.1,0.8,0.03,2.0,,0.06,0.03,3.29,0.01,0.02,75.0,9.93,0.5,274.8959987125353,
82.01 ,0.11605782616924006,1.41,,,0.3,47:12:28 ,,,,,0.08,0.08,,,Borucki 2011,,2.77,10187017.0,82,4.607,8.93,,,,0.8,,,11.7,Marcy 2013,,16.1457,2.22,18:45:55.8 ,4.68,2.76,,0.027638999999999997,0.74,,,,,SME   ,4903.0,,,67.75384,,0.03,,0.04,0.04,0.6,0.03,2.0,,0.02,0.07,1.12,0.09,0.02,44.0,11.49,0.5,21.079096836502817,
82.02 ,0.08607096898652293,1.41,,,0.22,47:12:28 ,,,,,0.08,0.08,,,Borucki 2011,,1.37,10187017.0,82,4.607,3.8,,,,0.8,,,6.6,Marcy 2013,,10.3117,1.18,18:45:55.8 ,13.27,2.76,,0.014681999999999999,0.74,,,,,SME   ,4903.0,,,67.0792,,0.05,,0.04,0.04,0.6,0.03,1.8,,0.02,0.04,6.46,0.09,0.02,44.0,11.49,0.5,38.32546897438211,
82.03 ,0.16533674386423405,1.41,,,0.57,47:12:28 ,,,,,0.08,0.08,,,Borucki 2011,,2.11,10187017.0,82,4.607,0.62,,,,0.8,,,5.2,Marcy 2013,,27.4536,0.88,18:45:55.8 ,4.92,2.76,,0.010962999999999999,0.74,,,,,SME   ,4903.0,,,78.02565,,0.03,,0.04,0.04,0.8,0.03,3.3,,0.02,0.03,24.5,0.09,0.02,44.0,11.49,0.5,10.386329629495439,
82.04 ,0.06693309915000585,1.41,,,0.06,47:12:28 ,,,,,0.08,0.08,,,Borucki 2011,,-1.0,10187017.0,82,4.607,-1.58,,,,0.8,,,3.0,Marcy 2013,,7.07142,0.58,18:45:55.8 ,-44.24,2.76,,0.007228,0.74,,,,,SME   ,4903.0,,,72.98486,,0.05,,0.04,0.04,0.6,0.03,2.0,,0.02,0.02,56.7,0.09,0.02,44.0,11.49,0.5,63.37514907138216,
82.05 ,0.05513666947142116,1.41,,,0.06,47:12:28 ,,,,,0.08,0.08,,,Borucki 2011,,0.19,10187017.0,82,4.607,0.41,,,,0.8,,,4.3,Marcy 2013,,5.28696,0.47,18:45:55.8 ,23.29,2.76,,0.0058,0.74,,,,,SME   ,4903.0,,,68.8492,,0.06,,0.04,0.04,0.7,0.03,1.6,,0.02,0.02,94.93,0.09,0.02,44.0,11.49,0.5,93.39417806925134,
104.01 ,0.033676488797237905,1.41,,,0.85,47:29:49 ,,,,,0.34,0.34,,,Borucki 2011,,6.11,10318874.0,104,4.59,10.84,,,,0.81,,,16.5,Marcy 2013,,2.50806,3.51,18:44:46.7 ,1.45,2.9,,0.04238,0.76,,,,,SME   ,4781.0,,,67.9998,,0.01,,0.04,0.04,0.8,0.04,1.4,,0.03,0.15,0.26,0.23,0.03,78.0,12.9,0.5,238.74726237629213,
108.01 ,0.12770323102671344,5.7,,,0.72,40:03:52 ,,,,,0.07,0.07,,,Borucki 2011,,3.38,4914423.0,108,4.162,14.11,,,,1.09,,,27.0,Marcy 2013,,15.9654,3.37,19:15:56.2 ,2.02,0.52,,0.0215,1.44,,,,,AS   ,5845.0,,,75.17614,,0.01,,0.11,0.11,0.9,0.04,4.7,,0.07,0.09,0.59,0.02,0.04,88.0,12.29,2.5,133.15243874036963,
116.01 ,0.1113465632702121,4.83,,,0.69,44:20:15 ,,,,,-0.12,-0.12,,,Borucki 2011,,2.71,8395660.0,116,4.407,10.44,,,,1.0,,,18.8,Marcy 2013,,13.5708,2.5,20:03:27.3 ,3.28,1.38,,0.022113,1.04,,,,,SME   ,5858.0,,,69.27837,,0.03,,0.1,0.1,0.8,0.14,3.2,,0.06,0.32,1.56,0.15,0.17,98.0,12.88,0.3,92.17228710500332,
