           WASP-50 b     1.955    467.97$\pm$27.95          12.92$\pm$0.54         624.218                      \citet{Gillon2011}                      \citet{Gillon2011}
           WASP-52 b     1.750    145.29$\pm$7.06           14.24$\pm$0.34         475.345                     \citet{Hebrard2013}                     \citet{Hebrard2013}
           WASP-54 b     3.694    201.09$\pm$8.65           18.53$\pm$0.97        1672.123                       \citet{Faedi2013}                       \citet{Faedi2013}
           WASP-55 b     4.466    181.53$\pm$12.01          14.57$\pm$0.45         430.673                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-56 b     4.617    192.40$\pm$12.86          12.24$\pm$0.38         346.122                       \citet{Faedi2013}                       \citet{Faedi2013}
           WASP-57 b     2.839    214.81$\pm$16.64          10.27$\pm$0.17         413.110                       \citet{Faedi2013}                       \citet{Faedi2013}
           WASP-58 b     5.017    283.30$\pm$22.67          15.36$\pm$2.24         440.014                     \citet{Hebrard2013}                     \citet{Hebrard2013}
           WASP-59 b     7.920    273.03$\pm$14.29           8.69$\pm$0.76          32.622                     \citet{Hebrard2013}                     \citet{Hebrard2013}
            WASP-6 b     3.361    165.70$\pm$6.52           13.72$\pm$0.58         326.463                      \citet{Gillon2009}                      \citet{Gillon2009}
           WASP-61 b     3.856    653.08$\pm$24.98          13.90$\pm$0.34         956.611                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-62 b     4.412    178.70$\pm$13.31          15.58$\pm$0.67         688.350                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-63 b     4.378    120.17$\pm$10.07          16.03$\pm$0.90         911.294                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-64 b     1.573    404.06$\pm$24.16          14.25$\pm$0.44        1354.885                      \citet{Gillon2013}                      \citet{Gillon2013}
           WASP-66 b     4.086    735.26$\pm$42.05          15.58$\pm$1.01        1747.451                     \citet{Hellier2012}                     \citet{Hellier2012}
           WASP-67 b     4.614    133.26$\pm$10.48          15.69$\pm$2.80         185.109                     \citet{Hellier2012}                     \citet{Hellier2012}
            WASP-7 b     4.955    292.16$\pm$40.35          10.26$\pm$0.48         629.143                     \citet{Hellier2009}                     \citet{Hellier2009}
           WASP-72 b     2.217    447.40$\pm$18.86          11.32$\pm$1.68        2992.495                      \citet{Gillon2013}                      \citet{Gillon2013}
         WASP-77 A b     1.360     38.00$\pm$6.88           13.56$\pm$0.22        1295.558                      \citet{Maxted2013}                      \citet{Maxted2013}
           WASP-78 b     2.175    280.95$\pm$25.61          19.06$\pm$1.23        4603.625                     \citet{Smalley2012}                     \citet{Smalley2012}
           WASP-79 b     3.662    282.07$\pm$26.57          19.06$\pm$1.23        1601.276                     \citet{Smalley2012}                     \citet{Smalley2012}
            WASP-8 b     8.159    679.48$\pm$25.38          11.63$\pm$0.30         129.005                      \citet{Queloz2010}                      \citet{Queloz2010}
           WASP-80 b     3.068    175.36$\pm$11.24          10.67$\pm$0.30          72.675                      \citet{Triaud2013}                      \citet{Triaud2013}
              XO-1 b     3.942    291.90$\pm$25.25          13.52$\pm$0.50         352.258                  \citet{McCullough2006}                  \citet{McCullough2006}
              XO-2 b     2.616    180.06$\pm$17.97          11.02$\pm$0.32         506.911                       \citet{Burke2007}                       \citet{Burke2007}
              XO-3 b     3.192   4222.14$\pm$141.16         13.64$\pm$0.82        3039.346                 \citet{Johns-Krull2008}                        \citet{Winn2009}
              XO-5 b     4.188    366.29$\pm$28.02          11.55$\pm$0.62         352.399                       \citet{Burke2008}                       \citet{Burke2008}
            KOI-94 b     3.743      9.40$\pm$4.50            1.77$\pm$0.17        1155.374                       \citet{Weiss2013}                       \citet{Weiss2013}
            KOI-94 c    10.424      8.30$\pm$5.50            4.28$\pm$0.40         295.035                     \citet{Borucki2011}                       \citet{Weiss2013}
            KOI-94 d    22.343    105.00$\pm$12.00          11.40$\pm$1.05         106.760                     \citet{Borucki2011}                       \citet{Weiss2013}
            KOI-94 e    54.320     38.00$\pm$18.00           6.64$\pm$0.62          32.631                     \citet{Borucki2011}                       \citet{Weiss2013}
              Kic843     0.354      1.78$\pm$0.30            1.20$\pm$0.09        3093.388             \citet{Sanchis-Ojeda(2013)}             \citet{Sanchis-Ojeda(2013)}
           KOI-41.01    12.816      0.85$\pm$4.00            2.20$\pm$0.05         213.371                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-41.02     6.887      7.34$\pm$3.20            1.32$\pm$0.04         472.831                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-41.03    35.333     -4.36$\pm$4.10            1.61$\pm$0.05          55.812                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-69.01     4.727      2.59$\pm$2.00            1.50$\pm$0.03         220.120                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.01    16.146      8.93$\pm$2.00            2.22$\pm$0.07          17.278                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.02    10.312      3.80$\pm$1.80            1.18$\pm$0.04          31.184                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.03    27.454      0.62$\pm$3.30            0.88$\pm$0.03           8.250                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.04     7.071     -1.58$\pm$2.00            0.58$\pm$0.02          51.315                     \citet{Borucki2011}                       \citet{Marcy2013}
           KOI-82.05     5.287      0.41$\pm$1.60            0.47$\pm$0.02          78.407                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-104.01     2.508     10.84$\pm$1.40            3.51$\pm$0.15         214.674                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-108.01    15.965     14.11$\pm$4.70            3.37$\pm$0.09         124.197                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-108.02   179.612     36.40$\pm$25.30           5.13$\pm$0.14           5.709                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.01    13.571     10.44$\pm$3.20            2.50$\pm$0.32          84.462                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.02    43.844     11.17$\pm$5.80            2.56$\pm$0.33          15.645                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.03     6.165      0.15$\pm$2.80            0.82$\pm$0.11         239.077                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-116.04    23.980     -6.39$\pm$7.00            0.95$\pm$0.13          43.146                     \citet{Borucki2011}                       \citet{Marcy2013}
          KOI-122.01    11.523     13.00$\pm$2.90            3.42$\pm$0.09         182.708                     \citet{Borucki2011}                       \citet{Marcy2013}
