NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,A,AUPPER,ALOWER,UA,PER,ECC,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,RHOSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,LOGG,FE,FEUPPER,FELOWER,UFE,VSINI,SHK,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,g/cm^3,g/cm^3,g/cm^3,g/cm^3,au,au,au,au,day,,msun,msun,msun,msun,rsun,rsun,rsun,rsun,g/cm^3,k,k,k,k,,,,,,km/s,,,,,
HAT-P-16 b,1335.624309530983,44.995204579692675,44.995204579692675,44.995204579692675,14.448376162179958,0.7397927282419529,0.7397927282419529,0.7397927282419529,2.42,0.35,0.35,0.35,0.0413275,0.000688792,0.000688792,0.000688792,2.77596,0.036,1.218,0.039,0.039,0.039,1.237,0.054,0.054,0.054,,6158,80,80,80,4.34,0.17,0.08,0.08,0.08,3.5,,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B
HAT-P-17 b,168.49301908205283,6.204384106658631,6.204384106658631,6.204384106658631,11.321070538248067,0.3250604411972217,0.3250604411972217,0.3250604411972217,0.64,0.05,0.05,0.05,0.0882385,0.00147064,0.00147064,0.00147064,10.338523,0.346,0.857,0.039,0.039,0.039,0.837,0.021,0.021,0.021,,5246,80,80,80,4.53,0,0.08,0.08,0.08,0.3,0.162,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H
HAT-P-18 b,62.6750248568846,4.256072933614543,4.256072933614543,4.256072933614543,11.152935827283986,0.5828669980088114,0.5828669980088114,0.5828669980088114,0.25,0.04,0.04,0.04,0.0559503,0.000932505,0.000932505,0.000932505,5.508023,0.084,0.77,0.031,0.031,0.031,0.749,0.037,0.037,0.037,,4803,80,80,80,4.57,0.1,0.08,0.08,0.08,0.5,,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-19 b,92.88921447223059,5.585372692578086,5.585372692578086,5.585372692578086,12.688566187422584,0.8070466126275849,0.8070466126275849,0.8070466126275849,0.25,0.04,0.04,0.04,0.0466409,0.000777348,0.000777348,0.000777348,4.008778,0.067,0.842,0.042,0.042,0.042,0.82,0.048,0.048,0.048,,4990,130,130,130,4.54,0.23,0.08,0.08,0.08,0.7,,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H
HAT-P-2 b,2819.2399241739477,129.00176257909007,129.00176257909007,129.00176257909007,12.968790705696053,0.8182555933585236,0.706165786049137,0.7622106897038303,7.29,1.12,1.12,1.12,0.0679088,0.0014364,0.0014364,0.0014364,5.6334729,0.5171,1.308,0.088,0.07800000000000001,0.083,1.506,0.13,0.096,0.113,0.429,6290,60,60,60,4.16,0.14,0.08,0.08,0.08,20.8,,Pal 2010,http://adsabs.harvard.edu/abs/2010MNRAS.401.2665P,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..826B
HAT-P-20 b,2316.7337235110977,78.55695656322186,78.55695656322186,78.55695656322186,9.718186293723836,0.36989636412097643,0.36989636412097643,0.36989636412097643,13.78,1.5,1.5,1.5,0.03616,0.000602667,0.000602667,0.000602667,2.875317,0.015,0.756,0.028,0.028,0.028,0.694,0.021,0.021,0.021,,4595,80,80,80,4.63,0.35,0.08,0.08,0.08,2.1,,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-21 b,1296.1610208898262,54.874533945967656,54.874533945967656,54.874533945967656,11.477996268481208,1.0312262272463586,1.0312262272463586,1.0312262272463586,4.68,1.29,1.29,1.29,0.0494951,0.000824919,0.000824919,0.000824919,4.124481,0.228,0.947,0.042,0.042,0.042,1.105,0.083,0.083,0.083,,5588,80,80,80,4.33,0.01,0.08,0.08,0.08,3.5,,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-22 b,683.7411233303203,24.529721703324295,24.529721703324295,24.529721703324295,12.105699189413777,0.6501208823944434,0.6501208823944434,0.6501208823944434,2.11,0.345,0.345,0.345,0.0414094,0.000690157,0.000690157,0.000690157,3.21222,0.016,0.916,0.035,0.035,0.035,1.04,0.044,0.044,0.044,,5302,80,80,80,4.36,0.24,0.08,0.08,0.08,0.5,,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-23 b,666.1626865521744,38.78411454253289,38.78411454253289,38.78411454253289,15.333885639924114,1.0088082657844812,1.0088082657844812,1.0088082657844812,1.01,0.18,0.18,0.18,0.0231971,0.000386619,0.000386619,0.000386619,1.212884,0.106,1.13,0.035,0.035,0.035,1.203,0.074,0.074,0.074,,5905,80,80,80,4.33,0.15,0.04,0.04,0.04,8.1,,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-24 b,217.97674766495933,11.513828417193933,11.513828417193933,11.513828417193933,13.921554067825841,0.7510017089728915,0.7510017089728915,0.7510017089728915,0.44,0.07,0.07,0.07,0.0465021,0.000775035,0.000775035,0.000775035,3.35524,0.067,1.191,0.042,0.042,0.042,1.317,0.068,0.068,0.068,,6373,80,80,80,4.27,-0.16,0.08,0.08,0.08,10,0.44,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K
HAT-P-25 b,180.2595434869941,8.36064268856081,8.36064268856081,8.36064268856081,13.338687069817029,0.9079274392060331,0.6277029209325662,0.7678151800692997,3,0.04,0.060000000000000005,0.05,0.0465813,0.000776354,0.000776354,0.000776354,3.652836,0.032,1.01,0.032,0.032,0.032,0.959,0.054,0.037,0.0455,,5500,80,80,80,4.48,0.31,0.08,0.08,0.08,0.5,,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q
HAT-P-26 b,18.6395946620468,2.282879898061665,2.282879898061665,2.282879898061665,6.333074112980354,0.5828669980088114,0.5828669980088114,0.5828669980088114,0.4,0.1,0.1,0.1,0.0478684,0.000797807,0.000797807,0.000797807,4.234516,0.124,0.816,0.033,0.033,0.033,0.788,0.098,0.04299999999999998,0.0705,0.4,5079,88,88,88,4.56,-0.04,0.08,0.08,0.08,1.8,0.182,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H
HAT-P-27 b,196.24699030832576,9.520037687054334,9.520037687054334,9.520037687054334,11.433160345557454,0.7846286511657077,0.6725388438563208,0.7285837475110142,0.771559,0.152214,0.152214,0.152214,0.0399488,0.000868452,0.000868452,0.000868452,3.039577,0,0.92,0.06,0.06,0.06,0.87,0.04,0.04,0.04,1.94304,5190,160,170,165,4.5,0.14,0.11,0.11,0.11,0.6,,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A
HAT-P-28 b,199.5357566033946,11.919584885005522,11.919584885005522,11.919584885005522,13.58528464589768,1.0928756212665214,1.0928756212665214,1.0928756212665214,0.44,0.09,0.09,0.09,0.0433674,0.00072279,0.00072279,0.00072279,3.257215,0.051,1.025,0.047,0.047,0.047,1.103,0.091,0.069,0.08,,5680,90,90,90,4.36,0.12,0.08,0.08,0.08,0.2,0.157,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
HAT-P-29 b,247.5804115697499,20.403667545445415,20.403667545445415,20.403667545445415,12.408341669149118,1.2217788996723162,1.2217788996723162,1.2217788996723162,0.71,0.18,0.18,0.18,0.0666842,0.0011114,0.0011114,0.0011114,5.723186,0.095,1.207,0.046,0.046,0.046,1.224,0.133,0.07499999999999998,0.104,,6087,88,88,88,4.34,0.21,0.08,0.08,0.08,3.9,0.1421,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
