Name	KOI	M/MJ	M/ME	R/RJ	R/RE	Density	Temp**	Transit Duration	Period	Semi-Major axis	Eccentricity	Inclination***	Distance	Effective Temp	Stellar Mass	Stellar Radius	Metallicity	Right Ascension  	Declination	Kp	Last Updated
Kepler-33e	707	--	--	0.307	3.446	--	--	8.819	31.78438	0.20656	(0)	89.576	--	5849	1.164	1.615	+0.12†	19 16 18.61	+46 00 18.8	13.988	2012/01/26
Kepler-33f	707	--	--	0.341	3.827	--	--	9.732	41.02903	0.2449	(0)	89.772	--	5849	1.164	1.615	+0.12†	19 16 18.61	+46 00 18.8	13.988	2012/01/26
Kepler-34b	2459	0.220	69.9	0.764	8.56	0.613	--		288.822	1.0896	0.182	90.355	1499	5913(A)	5867(B)	1.0479(A)	1.0208(B)	1.1618(A)	1.0927(B)	-0.02	19 45 44.6	+44 38 29.6	14.875	2012/01/11
Kepler-35b	2937	0.127	40.4	0.728	8.16	0.410	--		131.458	0.60347	0.042	90.76	1645	5606(A)	5202(B)	0.8877(A)	0.8094(B)	1.0284(A)	0.7861(B)	-0.13	19 37 59.3	+46 41 23.6	15.726	2012/01/11
Kepler-36b	277	0.014	4.45	0.132	1.486	7.46	980	6.78	13.83989	0.1153	<0.04	90.0	470	5911	1.071	1.626	-0.2	19 25 0.04	+49 13 54.6	11.9	2012/06/21
Kepler-36c	277	0.025	8.08	0.327	3.679	0.89	930	7.443	16.23855	0.1283	<0.04	90.0	470	5911	1.071	1.626	-0.2	19 25 0.04	+49 13 54.6	11.9	2012/06/21
Kepler-37b	245	> 0.00003	> 0.01	0.0270	0.303	--	700	3.0	13.367308	0.1003	--	88.63	~66	5417	0.803	0.770	-0.32†	18 56 14.289	+44 31 05.57	9.701	2013/02/20
Kepler-37c	245	--	--	0.0660	0.742	--	560	3.8	21.301886	0.742	--	89.07	~66	5417	0.803	0.770	-0.32†	18 56 14.289	+44 31 05.57	9.701	2013/02/20
Kepler-37d	245	--	--	0.177	1.99	--	460	4.6	39.792187	0.2076	--	89.335	~66	5417	0.803	0.770	-0.32†	18 56 14.289	+44 31 05.57	9.701	2013/02/20
Kepler-38b	1740	> 0.384	> 122	0.39	4.35		475	varies	105.595	0.4644	<0.032	89.446	600	5640	0.949	0.249	1.757	0.2724	-0.11	19 07 19.28	+42 16 4.51	13.94	2012/08/20
