NAME,MSINI,MSINIUPPER,MSINILOWER,UMSINI,R,RUPPER,RLOWER,UR,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,A,AUPPER,ALOWER,UA,PER,ECC,I,FIRSTREF,FIRSTURL,ORBREF,ORBURL,DATE
#,mearth,mearth,mearth,mearth,rearth,rearth,rearth,rearth,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,au,au,au,au,day,,deg,,,,,
GJ 436 b,23.057976539118204,1.0116007396806266,1.0116007396806266,1.0116007396806266,4.222423041344601,0.09191364199369718,0.10312262272463583,0.09751813235916651,0.452,0.014,0.011999999999999999,0.013,0.464,0.009,0.011000000000000001,0.01,3350,300,300,300,0.0287188,0.000478647,0.000478647,0.000478647,2.64385,0.16,86.36,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M,2004
HAT-P-1 b,168.80606844431054,9.64649691674199,9.64649691674199,9.64649691674199,13.921554067825841,0.59407597873975,0.59407597873975,0.59407597873975,1.133,0.075,0.079,0.077,1.135,0.048,0.048,0.048,5975,120,120,120,0.0553326,0.00125349,0.00125349,0.00125349,4.4652934,0,86.11,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,2007
HAT-P-11 b,26.222126940845637,2.8607976242844226,2.8607976242844226,2.8607976242844226,4.730189868456123,0.15692573023314152,0.15692573023314152,0.15692573023314152,0.81,0.02,0.02,0.02,0.75,0.02,0.02,0.02,4780,50,50,50,0.0525443,0.000875738,0.000875738,0.000875738,4.8878162,0.198,88.5,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,2010
HAT-P-12 b,66.9868428241438,4.198198528673295,4.198198528673295,4.198198528673295,10.749412520970195,0.3250604411972217,0.2353885953497123,0.280224518273467,0.73,0.018,0.018,0.018,0.701,0.017,0.012,0.0145,4650,60,60,60,0.0383737,0.000639561,0.000639561,0.000639561,3.2130598,0,89,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,2009
HAT-P-13 b,270.58906297077436,11.245082690569447,11.245082690569447,11.245082690569447,14.35870431633245,0.8855094777441558,0.8855094777441558,0.8855094777441558,1.22,0.05,0.09999999999999999,0.075,1.56,0.08,0.08,0.08,5653,90,90,90,0.0426946,0.000874889,0.000874889,0.000874889,2.91625,0.0133,83.4,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,2009
HAT-P-14 b,706.080452947675,25.84821569749925,25.84821569749925,25.84821569749925,12.89032784057948,0.5828669980088114,0.5828669980088114,0.5828669980088114,1.386,0.045,0.045,0.045,1.468,0.054,0.054,0.054,6600,90,90,90,0.0606258,0.00101043,0.00101043,0.00101043,4.627669,0.107,83.5,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,2010
HAT-P-15 b,620.1555538816912,24.024202601185095,24.024202601185095,24.024202601185095,12.016027343566265,0.48198617143036326,0.48198617143036326,0.48198617143036326,1.013,0.043,0.043,0.043,1.08,0.039,0.039,0.039,5568,90,90,90,0.0964692,0.00160782,0.00160782,0.00160782,10.863502,0.19,89.1,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,2010
HAT-P-16 b,1333.2724666064075,44.995204579692675,44.995204579692675,44.995204579692675,14.448376162179958,0.7397927282419529,0.7397927282419529,0.7397927282419529,1.218,0.039,0.039,0.039,1.237,0.054,0.054,0.054,6158,80,80,80,0.0413275,0.000688792,0.000688792,0.000688792,2.77596,0.036,86.6,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,2010
HAT-P-17 b,168.47649261825848,6.204384106658631,6.204384106658631,6.204384106658631,11.321070538248067,0.3250604411972217,0.3250604411972217,0.3250604411972217,0.857,0.039,0.039,0.039,0.837,0.021,0.021,0.021,5246,80,80,80,0.0882385,0.00147064,0.00147064,0.00147064,10.338523,0.346,89.2,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,2012
HAT-P-18 b,62.66135874259315,4.256072933614543,4.256072933614543,4.256072933614543,11.152935827283986,0.5828669980088114,0.5828669980088114,0.5828669980088114,0.77,0.031,0.031,0.031,0.749,0.037,0.037,0.037,4803,80,80,80,0.0559503,0.000932505,0.000932505,0.000932505,5.508023,0.084,88.8,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,2011
HAT-P-19 b,92.8434488801848,5.585372692578086,5.585372692578086,5.585372692578086,12.688566187422584,0.8070466126275849,0.8070466126275849,0.8070466126275849,0.842,0.042,0.042,0.042,0.82,0.048,0.048,0.048,4990,130,130,130,0.0466409,0.000777348,0.000777348,0.000777348,4.008778,0.067,88.2,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,2011
HAT-P-2 b,2814.6220488098825,129.00176257909007,129.00176257909007,129.00176257909007,12.968790705696053,0.8182555933585236,0.706165786049137,0.7622106897038303,1.308,0.088,0.07800000000000001,0.083,1.506,0.13,0.096,0.113,6290,60,60,60,0.0679088,0.0014364,0.0014364,0.0014364,5.6334729,0.5171,86.72,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..826B,Pal 2010,http://adsabs.harvard.edu/abs/2010MNRAS.401.2665P,2007
HAT-P-20 b,2313.123326805263,78.55695656322186,78.55695656322186,78.55695656322186,9.718186293723836,0.36989636412097643,0.36989636412097643,0.36989636412097643,0.756,0.028,0.028,0.028,0.694,0.021,0.021,0.021,4595,80,80,80,0.03616,0.000602667,0.000602667,0.000602667,2.875317,0.015,86.8,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011
HAT-P-21 b,1294.6132539921664,54.874533945967656,54.874533945967656,54.874533945967656,11.477996268481208,1.0312262272463586,1.0312262272463586,1.0312262272463586,0.947,0.042,0.042,0.042,1.105,0.083,0.083,0.083,5588,80,80,80,0.0494951,0.000824919,0.000824919,0.000824919,4.124481,0.228,87.2,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011
HAT-P-22 b,682.7400010043184,24.529721703324295,24.529721703324295,24.529721703324295,12.105699189413777,0.6501208823944434,0.6501208823944434,0.6501208823944434,0.916,0.035,0.035,0.035,1.04,0.044,0.044,0.044,5302,80,80,80,0.0414094,0.000690157,0.000690157,0.000690157,3.21222,0.016,86.9,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011
HAT-P-23 b,663.728211308627,38.78411454253289,38.78411454253289,38.78411454253289,15.333885639924114,1.0088082657844812,1.0088082657844812,1.0088082657844812,1.13,0.035,0.035,0.035,1.203,0.074,0.074,0.074,5905,80,80,80,0.0231971,0.000386619,0.000386619,0.000386619,1.212884,0.106,85.1,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,2011
HAT-P-24 b,217.91159525961635,11.513828417193933,11.513828417193933,11.513828417193933,13.921554067825841,0.7510017089728915,0.7510017089728915,0.7510017089728915,1.191,0.042,0.042,0.042,1.317,0.068,0.068,0.068,6373,80,80,80,0.0465021,0.000775035,0.000775035,0.000775035,3.35524,0.067,88.6,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,2010
HAT-P-25 b,180.10127081450236,8.36064268856081,8.36064268856081,8.36064268856081,13.338687069817029,0.9079274392060331,0.6277029209325662,0.7678151800692997,1.01,0.032,0.032,0.032,0.959,0.054,0.037,0.0455,5500,80,80,80,0.0465813,0.000776354,0.000776354,0.000776354,3.652836,0.032,87.6,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,2012
HAT-P-26 b,18.634001089685647,2.282879898061665,2.282879898061665,2.282879898061665,6.333074112980354,0.5828669980088114,0.5828669980088114,0.5828669980088114,0.816,0.033,0.033,0.033,0.788,0.098,0.04299999999999998,0.0705,5079,88,88,88,0.0478684,0.000797807,0.000797807,0.000797807,4.234516,0.124,88.6,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,2011
HAT-P-27 b,195.5001212714673,9.520037687054334,9.520037687054334,9.520037687054334,11.433160345557454,0.7846286511657077,0.6725388438563208,0.7285837475110142,0.92,0.06,0.06,0.06,0.87,0.04,0.04,0.04,5190,160,170,165,0.0399488,0.000868452,0.000868452,0.000868452,3.039577,0,85,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,2011
