NAME,R,RUPPER,RLOWER,MSINI,MSINIUPPER,MSINILOWER,I,PER,A,AUPPER,ALOWER,TEFF,TEFFUPPER,TEFFLOWER,RSTAR,RSTARUPPER,RSTARLOWER,ECC,FIRSTREF,FIRSTURL,ORBREF,ORBURL
,rjupiter,rjupiter,rjupiter,mjupiter,mjupiter,mjupiter,deg,day,au,au,au,k,k,k,rsun,rsun,rsun,,,,,
CoRoT-19 b,1.2899999619,0.0299999993,0.0299999993,1.1072428226,0.0644028783,0.0644028783,88,3.89713,0.051660426,0.0008610071,0.0008610071,6090,70,70,1.6499999762,0.0399999991,0.0399999991,0.0469999984,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G
CoRoT-2 b,1.4650000334,0.0289999992,0.0289999992,3.2737650871,0.1576465368,0.1576465368,87.8399963379,1.7429964,0.0280884039,0.0005791423,0.0005791423,5625,120,120,0.90200001,0.0179999992,0.0179999992,0,Alonso 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..21A,Alonso 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..21A
CoRoT-4 b,1.1900000572,0.0549999997,0.0549999997,0.7174189091,0.0723896846,0.0723896846,90,9.20205,0.090316616,0.0015052789,0.0015052789,6190,60,60,1.1699999571,0.0099999998,0.0299999994,0,Moutou 2008 ; Aigrain 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M ; http://adsabs.harvard.edu/abs/2008A%26A...488L..43A,Moutou 2008,http://adsabs.harvard.edu/abs/2008A%26A...488L..47M
CoRoT-5 b,1.3880000114,0.0460000001,0.0470000021,0.4613124132,0.0395128839,0.0395128839,85.8300018311,4.0378962,0.0496333614,0.0008272243,0.0008272243,6100,65,65,1.1859999895,0.0399999991,0.0399999991,0.0900000036,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R
CoRoT-6 b,1.1660000086,0.0350000001,0.0350000001,2.9532494545,0.3313791156,0.3313791156,89.0699996948,8.886593,0.0854177177,0.0014236287,0.0014236287,6090,50,50,1.0249999762,0.0260000005,0.0260000005,0,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F
CoRoT-7 b,0.1498000026,0.0080300001,0.0080300001,0.0155646047,0.0027181909,0.0027181909,80.0999984741,0.853585,0.0171896741,0.0002864948,0.0002864948,5275,75,75,0.8700000048,0.0399999991,0.0399999991,0,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L,Queloz 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q
CoRoT-8 b,0.5699999928,0.0199999996,0.0199999996,0.2159938514,0.0340008587,0.0340008587,88.4000015259,6.21229,0.0633824691,0.0010563745,0.0010563745,5080,80,80,0.7699999809,0.0199999996,0.0199999996,0,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B
CoRoT-9 b,1.0499999523,0.0399999991,0.0399999991,0.8435639143,0.072387591,0.072387591,89.9899978638,95.2738,0.4069911242,0.0067831865,0.0067831865,5625,80,80,0.9399999976,0.0399999991,0.0399999991,0.1099999994,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D
GJ 1214 b,0.2389000058,0.0115900002,0.0115900002,0.0203507021,0.0031335354,0.0031335354,90,1.58040482,0.0143252835,0.0005778776,0.0005778776,3026,130,130,0.2109999955,0.0097000003,0.0097000003,0,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C
GJ 436 b,0.3767000139,0.0082,0.0092000002,0.0725512281,0.0031829705,0.0031829705,86.3600006104,2.64385,0.0287187845,0.0004786469,0.0004786469,3350,300,300,0.4639999866,0.0089999996,0.011,0.1599999964,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,Maness 2007,http://adsabs.harvard.edu/abs/2007PASP..119...90M
