  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
 153.01  2.710822   72.713737    8.92506695 0.029135 0.5606   -2.72  0.000  0.000   -6.86  2.185 88.655   22.516   0.076333   963.81 -3.79 1.857  699.
 u        0.082754    0.000641    0.00000912 0.000216 0.0163    1.03  0.000  0.000    2.62  0.064  0.055    0.230   0.000580    10.07  1.49 0.391   51.
 153.02  2.710822   61.546303    4.75400400 0.024190 0.0777    2.36  0.000  0.000    4.84  1.815 89.717   14.795   0.050159   742.97  4.67 3.184  862.
 u        0.082754    0.000623    0.00000476 0.000137 0.0614    0.84  0.000  0.000    1.72  0.053  0.224    0.151   0.000381     7.90  1.71 0.153   62.
 153.10  2.710822   62.868984   16.40035439 0.000000 0.0000    9.64  0.000  0.000   29.82  0.000  0.000   33.777   0.114500     0.00  0.00 0.000  571.
 u        0.082754    0.765137    0.01840966 0.000000 0.0000    1.15  0.000  0.000    3.60  0.000  0.000    0.344   0.000876     0.00  0.00 0.000   41.
*Solution for 244 does not include latest RVs
 244.01  0.751337  111.527298   12.72037506 0.036409 0.8784    5.63  0.000  0.000   24.60  5.203 87.284   18.592   0.112937  1172.45  0.90 2.922 1052.
 u        0.008034    0.000158    0.00000319 0.000060 0.0011    1.29  0.000  0.000    5.66  0.090  0.065    0.066   0.001881     2.96  0.21 0.102   76.
 244.02  0.751337  111.527298   12.72037506 0.036409 0.8784    5.63  0.000  0.000   24.60  5.203 87.284   18.592   0.112937  1172.45  0.90 2.922 1052.
 u        0.008034    0.000158    0.00000319 0.000060 0.0011    1.29  0.000  0.000    5.66  0.090  0.065    0.066   0.001881     2.96  0.21 0.102   76.
 244.10  0.751337  197.843338  122.59711456 0.000000 0.0000    9.67  0.076  0.095   89.90  0.000  0.000   84.247   0.511698     0.00  0.00 0.000  494.
 u        0.008034   12.074331    1.81704330 0.000000 0.0000    1.46  0.193  0.145   13.66  0.000  0.000    0.905   0.009919     0.00  0.00 0.000   36.
 245.01  2.461833  108.249504   39.79221344 0.023068 0.5332   -1.33  0.000  0.000   -5.98  1.944 89.482   59.065   0.212009   603.13 -4.56 2.638  510.
 u        0.042747    0.000325    0.00002067 0.000054 0.0084    0.90  0.000  0.000    4.07  0.065  0.024    0.342   0.005870     2.12  3.17 0.425   38.
 245.02  2.461833  124.836853   21.30200386 0.008909 0.4346    0.92  0.000  0.000    3.35  0.751 89.360   38.942   0.139780    91.75 44.33 3.902  628.
 u        0.042747    0.001501    0.00005004 0.000092 0.0240    1.09  0.000  0.000    3.99  0.026  0.045    0.226   0.003875     1.71 53.60 0.314   47.
 245.03  2.461833  117.041710   13.36751080 0.003828 0.4841   -0.14  0.000  0.000   -0.42  0.323 89.028   28.543   0.102453    16.04 -70.0 4.250  733.
 u        0.042747    0.009568    0.00018015 0.000213 0.1339    0.91  0.000  0.000    2.85  0.021  0.276    0.165   0.002837     1.60 490.0 0.398   54.
 246.01  0.790714  106.857834    5.39875269 0.017383 0.4847    2.50  0.000  0.000    7.89  2.333 87.398   10.680   0.061098   348.55  3.06 3.108 1281.
 u        0.005034    0.000293    0.00000253 0.000041 0.0053    0.75  0.000  0.000    2.37  0.021  0.029    0.023   0.000501     1.45  0.92 0.126   90.
 246.02  0.790714   69.380249    9.60504055 0.007455 0.7677    0.57  0.000  0.000    2.18  1.001 87.193   15.681   0.089708    56.52 10.77 3.486 1057.
 u        0.005034    0.003301    0.00004344 0.000152 0.0132    0.92  0.000  0.000    3.52  0.022  0.049    0.033   0.000737     1.98 17.29 0.340   74.
 246.10  0.790714  349.519318  578.61578369 0.000000 0.0000   19.86  0.187 -0.043  298.35  0.000  0.000  242.611   1.388411     0.00  0.00 0.000  269.
 u        0.005034   15.213688   17.16437340 0.000000 0.0000    0.80  0.064  0.048   11.32  0.000  0.000    4.791   0.029361     0.00  0.00 0.000   19.
 261.01  1.542478  104.018967   16.23847389 0.023967 0.5445    2.10  0.000  0.000    8.46  2.668 88.809   27.807   0.125288   647.72  2.26 3.045  804.
 u        0.246664    0.000301    0.00000792 0.000305 0.0699    0.84  0.000  0.000    3.44  0.221  0.183    1.507   0.000954     2.54  1.11 0.188   66.
 283.01  1.438720  103.597954   16.09196472 0.021263 0.7880    3.95  0.000  0.000   16.13  2.408 88.254   27.011   0.125618   441.98  6.00 3.414  810.
 u        0.205081    0.000558    0.00001477 0.000267 0.0236    0.81  0.000  0.000    3.46  0.204  0.158    1.280   0.000930     3.66  1.98 0.119   67.
 283.02  1.438720   87.423424   25.51689148 0.007394 0.2688    3.58  0.000  0.000   17.02  0.837 89.560   36.730   0.170816    65.68 150.0 4.356  694.
 u        0.205081    0.005582    0.00021276 0.000212 0.1569    0.94  0.000  0.000    4.58  0.074  0.262    1.741   0.001265     3.29 56.93 0.141   57.
 292.01  1.531523  104.841209    2.58664250 0.013803 0.4103    1.65  0.000  0.000    3.51  1.477 87.032    8.152   0.036112   224.60  5.44 3.185 1490.
 u        0.311207    0.000785    0.00000335 0.000240 0.1623    0.90  0.000  0.000    1.94  0.132  1.230    0.567   0.000315     3.47  3.48 0.235  125.
 292.10  1.531523 1226.246338    0.00000000 0.000000 0.0000   11.41  0.000  0.000  293.54  0.000  0.000 1173.540   5.198819     0.00  0.00 0.000  124.
 u        0.311207  452.784271    0.00000000 0.000000 0.0000    4.11  0.000  0.000  106.98  0.000  0.000   81.696   0.045322     0.00  0.00 0.000   10.
 299.01  1.123093  103.543282    1.54167783 0.016377 0.5630    1.82  0.000  0.000    3.55  1.991 83.623    5.206   0.026011   300.48  2.18 2.905 1788.
 u        0.340060    0.000531    0.00000130 0.000470 0.1406    0.79  0.000  0.000    1.56  0.216  1.800    0.531   0.000200     3.64  1.21 0.208  156.
 299.10  1.123093   67.422874   22.09052658 0.000000 0.0000    6.90  0.000  0.000   32.49  0.000  0.000   30.708   0.153449     0.00  0.00 0.000  736.
 u        0.340060    1.490114    0.04419041 0.000000 0.0000    0.89  0.000  0.000    4.78  0.000  0.000    3.132   0.001201     0.00  0.00 0.000   64.
 305.01  2.855630  104.838928    4.60357952 0.018475 0.2063    2.91  0.000  0.000    6.15  1.479 89.195   14.737   0.050027   433.88 10.90 3.460  902.
 u        0.233745    0.000634    0.00000479 0.000199 0.1252    0.62  0.000  0.000    1.33  0.081  0.491    0.402   0.000711     4.81  2.82 0.101   74.
*I'd like to revist 321 once more (very close to formal convergence)
 321.01  1.122301  103.456802    2.42629361 0.012285 0.0954    2.89  0.000  0.000    6.35  1.434 89.249    7.042   0.036149   186.53 11.82 3.481 1484.
 u        0.019668    0.000850    0.00000311 0.000088 0.0617    0.63  0.000  0.000    1.38  0.029  0.487    0.041   0.000445     2.42  2.70 0.095  105.
