  KOI    <rhostar>      T0            P        r/R*     b       K    ecosw  esinw    Mp     Rp     i       a/R*      a       Tdepth   rhop loggp  Teq
          gcm3      BJD-2454900      Days                      m/s                   Me     Re    deg               AU        ppm     gcm3  cgs    K
-----------------------------------------------------------------------------------------------------------------------------------------------------
b                    0.583        0.016        0.013       -0.018        0.036       -0.030        0.054       -0.041
Rp/R*                0.016434     0.000098     0.000082    -0.000122     0.000198    -0.000205     0.000300    -0.000308
K (m/s)              1.7          1.0          1.0         -1.1          2.1         -2.1          3.2         -3.1
Mp (Mearth)          5.9          3.6          3.6         -3.8          7.3         -7.5         10.9        -11.4
Rp (Rearth)          2.374        0.067        0.057       -0.082        0.124       -0.154        0.206       -0.202
i (deg)             87.01         0.13         0.13        -0.14         0.25        -0.29         0.37        -0.44
a/R*                11.33         0.14         0.15        -0.12         0.20        -0.37         0.27        -0.50
a (AU)               0.0689       0.0014       0.0015      -0.0014       0.0028      -0.0030       0.0040      -0.0049
Tdepth (ppm)       300.2          2.9          2.9         -3.0          5.3         -6.7          8.9         -8.9
rho_p (g/cm^3)       2.0          1.3          1.1         -1.6          2.6         -2.7          4.2         -3.9
log(g)_p (cgs)       2.96         0.24         0.27        -0.20         0.38        -0.66         0.44        -0.97
Teq (K)           1286.          94.         100.         -99.         182.        -182.         238.        -240.

T0 (BJD-2454900)    70.5725       0.0012       0.0012      -0.0012       0.0025      -0.0025       0.0037      -0.0036
Period (days)       21.222652     0.000040     0.000039    -0.000041     0.000078    -0.000088     0.000120    -0.000130
b                    0.155        0.081        0.082       -0.094        0.135       -0.155        0.186       -0.155
Rp/R*                0.017432     0.000099     0.000097    -0.000107     0.000198    -0.000204     0.000298    -0.000305
K (m/s)              0.4          1.5          1.3         -1.8          3.1         -3.1          4.5         -4.9
Mp (Mearth)          2.2          7.8          6.8         -9.3         15.8        -16.4         24.4        -23.9
Rp (Rearth)          2.518        0.071        0.060       -0.087        0.132       -0.165        0.218       -0.214
i (deg)             89.64         0.19         0.20        -0.22         0.36        -0.31         0.36        -0.44
a/R*                24.98         0.30         0.32        -0.26         0.45        -0.81         0.59        -1.11
a (AU)               0.1519       0.0031       0.0032      -0.0031       0.0062      -0.0066       0.0088      -0.0107
Tdepth (ppm)       363.7          3.6          3.4         -3.9          7.2         -7.4         10.6        -11.6
rho_p (g/cm^3)       0.7          2.3          1.9         -2.8          4.8         -4.7          6.9         -7.9
log(g)_p (cgs)       2.92         0.37         0.37        -0.35         0.52        -1.07         0.63        -1.49
Teq (K)            866.          63.          66.         -67.         120.        -124.         161.        -160.

------
KOI153
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.745        0.017        0.015       -0.021        0.034       -0.035        0.052       -0.048
R* (Rsun)            0.687        0.019        0.019       -0.021        0.041       -0.038        0.063       -0.055
Z                    0.0203       0.0017       0.0016      -0.0018       0.0033      -0.0036       0.0051      -0.0053
Teff (K)          4726.          44.          40.         -49.          86.         -95.         135.        -130.
L (Lsun)             0.211        0.018        0.015       -0.022        0.037       -0.035        0.059       -0.050
Age (Gyr)            7.2          4.0          4.8         -4.7          6.8         -6.4          6.8         -7.1
log(g) (cgs)         4.636        0.025        0.025       -0.028        0.044       -0.048        0.057       -0.074
rhostar (g/cm^3)     3.23         0.27         0.26        -0.30         0.50        -0.55         0.73        -0.76

rhostar (g/cm^3)     2.711        0.083        0.080       -0.090        0.154       -0.203        0.224       -0.327
gamma (m/s)         -0.66         0.76         0.69        -0.82         1.56        -1.58         2.23        -2.56
Phot zpt (ppm)       3.7          2.7          2.6         -2.7          5.5         -5.5          8.3         -8.1

T0 (BJD-2454900)    72.71371      0.00064      0.00063     -0.00067      0.00128     -0.00137      0.00193     -0.00209
Period (days)        8.9250669    0.0000091    0.0000090   -0.0000096    0.0000186   -0.0000191    0.0000270   -0.0000316
b                    0.561        0.016        0.014       -0.020        0.035       -0.035        0.060       -0.057
Rp/R*                0.02913      0.00022      0.00020     -0.00024      0.00043     -0.00047      0.00072     -0.00070
K (m/s)             -2.7          1.0          1.1         -1.0          2.1         -2.1          3.1         -3.2
Mp (Mearth)         -6.9          2.6          2.6         -2.8          5.2         -5.6          8.0         -8.2
Rp (Rearth)          2.185        0.064        0.056       -0.077        0.131       -0.129        0.206       -0.184
i (deg)             88.655        0.055        0.056       -0.058        0.109       -0.120        0.179       -0.196
a/R*                22.52         0.23         0.24        -0.22         0.42        -0.57         0.61        -0.91
a (AU)               0.07633      0.00058      0.00055     -0.00067      0.00118     -0.00116      0.00171     -0.00179
Tdepth (ppm)       963.8         10.1          9.9        -10.8         20.1        -21.8         30.4        -32.8
rho_p (g/cm^3)      -3.8          1.5          1.5         -1.5          3.0         -3.1          4.2         -5.2
log(g)_p (cgs)       1.86         0.39         0.51        -0.27         1.02        -0.66         1.15        -1.37
Teq (K)            699.          51.          53.         -54.          98.         -98.         128.        -132.

T0 (BJD-2454900)    61.54596      0.00062      0.00057     -0.00074      0.00123     -0.00131      0.00178     -0.00207
Period (days)        4.7540040    0.0000048    0.0000050   -0.0000047    0.0000092   -0.0000103    0.0000137   -0.0000152
b                    0.078        0.061        0.036       -0.078        0.135       -0.078        0.225       -0.078
Rp/R*                0.02419      0.00014      0.00014     -0.00014      0.00027     -0.00029      0.00044     -0.00041
K (m/s)              2.36         0.84         0.79        -0.91         1.68        -1.79         2.59        -2.67
Mp (Mearth)          4.8          1.7          1.4         -2.1          3.3         -4.0          5.4         -5.2
Rp (Rearth)          1.815        0.053        0.052       -0.055        0.109       -0.103        0.170       -0.148
i (deg)             89.72         0.22         0.28        -0.13         0.28        -0.50         0.28        -0.81
a/R*                14.80         0.15         0.16        -0.14         0.28        -0.38         0.40        -0.60
a (AU)               0.05016      0.00038      0.00036     -0.00044      0.00077     -0.00076      0.00113     -0.00117
Tdepth (ppm)       743.0          7.9          6.8         -9.8         14.6        -18.5         25.1        -25.3
rho_p (g/cm^3)       4.7          1.7          1.4         -2.1          3.5         -3.6          5.6         -5.1
log(g)_p (cgs)       3.18         0.15         0.16        -0.15         0.27        -0.41         0.32        -0.61
Teq (K)            862.          62.          66.         -66.         120.        -122.         156.        -159.

T0 (BJD-2454900)    62.75         0.77         0.70        -0.86         1.70        -1.50         2.59        -2.42
Period (days)       16.400        0.018        0.018       -0.019        0.034       -0.045        0.050       -0.073
K (m/s)              9.6          1.1          1.2         -1.1          2.3         -2.5          3.5         -3.5
Mp (Mearth)         29.8          3.6          3.1         -4.3          7.1         -7.7         11.0        -11.2
a/R*                33.78         0.34         0.33        -0.38         0.63        -0.84         0.92        -1.37
a (AU)               0.11450      0.00088      0.00079     -0.00103      0.00178     -0.00172      0.00263     -0.00252
Teq (K)            571.          41.          44.         -43.          80.         -80.         104.        -107.

------
KOI244
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.187        0.059        0.059       -0.062        0.119       -0.122        0.171       -0.203
R* (Rsun)            1.309        0.023        0.020       -0.027        0.042       -0.052        0.069       -0.071
Z                    0.0200       0.0020       0.0017      -0.0025       0.0040      -0.0040       0.0060      -0.0062
Teff (K)          6270.          78.          80.         -80.         145.        -182.         235.        -250.
L (Lsun)             1.000        0.099        0.085       -0.123        0.198       -0.207        0.298       -0.317
Age (Gyr)            5.000        0.098        0.089       -0.114        0.197       -0.205        0.298       -0.310
log(g) (cgs)         4.278        0.026        0.027       -0.027        0.052       -0.056        0.076       -0.090
rhostar (g/cm^3)     0.7453       0.0085       0.0073      -0.0102       0.0169      -0.0178       0.0261      -0.0258

gamma (m/s)          1.05         1.06         0.98        -1.19         2.07        -2.21         3.11        -3.34
Phot zpt (ppm)       0.08         0.57         0.57        -0.61         1.20        -1.18         1.67        -1.91

T0 (BJD-2454900)   111.52730      0.00016      0.00015     -0.00018      0.00027     -0.00038      0.00045     -0.00054
Period (days)       12.7203751    0.0000032    0.0000033   -0.0000033    0.0000067   -0.0000062    0.0000091   -0.0000112
b                    0.87839      0.00107      0.00091     -0.00135      0.00220     -0.00219      0.00323     -0.00321
Rp/R*                0.036409     0.000060     0.000056    -0.000070     0.000116    -0.000132     0.000187    -0.000194
K (m/s)              5.6          1.3          1.3         -1.4          2.5         -2.7          4.0         -4.2
Mp (Mearth)         24.6          5.7          5.9         -5.8         10.5        -12.8         15.7        -21.6
Rp (Rearth)          5.203        0.090        0.092       -0.094        0.179       -0.188        0.279       -0.278
i (deg)             87.284        0.065        0.066       -0.067        0.129       -0.138        0.187       -0.227
a/R*                18.592        0.066        0.072       -0.062        0.123       -0.149        0.169       -0.225
a (AU)               0.1129       0.0019       0.0019      -0.0019       0.0037      -0.0040       0.0055      -0.0060
Tdepth (ppm)      1172.4          3.0          2.7         -3.5          6.0         -6.0          9.2         -9.3
rho_p (g/cm^3)       0.90         0.21         0.22        -0.22         0.44        -0.44         0.67        -0.67
log(g)_p (cgs)       2.922        0.102        0.116       -0.090        0.180       -0.257        0.233       -0.409
Teq (K)           1052.          76.          78.         -84.         144.        -149.         184.        -194.

T0 (BJD-2454900)   104.70541      0.00034      0.00032     -0.00038      0.00069     -0.00071      0.00097     -0.00111
Period (days)        6.2385335    0.0000034    0.0000034   -0.0000036    0.0000065   -0.0000076    0.0000104   -0.0000113
b                    0.5394       0.0062       0.0062      -0.0064       0.0119      -0.0134       0.0194      -0.0188
Rp/R*                0.018950     0.000048     0.000045    -0.000053     0.000098    -0.000102     0.000154    -0.000146
K (m/s)              2.8          1.2          1.3         -1.3          2.4         -2.6          3.5         -3.7
Mp (Mearth)          9.6          4.2          4.3         -4.4          8.5         -8.8         12.3        -12.6
Rp (Rearth)          2.708        0.047        0.049       -0.048        0.094       -0.098        0.146       -0.145
i (deg)             87.318        0.071        0.072       -0.075        0.141       -0.151        0.207       -0.229
a/R*                11.562        0.041        0.045       -0.039        0.077       -0.092        0.105       -0.140
a (AU)               0.0702       0.0012       0.0012      -0.0012       0.0023      -0.0025       0.0034      -0.0038
Tdepth (ppm)       400.9          1.8          1.4         -2.3          3.6         -3.8          5.5         -5.6
rho_p (g/cm^3)       2.5          1.1          1.1         -1.2          2.3         -2.2          3.3         -3.3
log(g)_p (cgs)       3.09         0.19         0.20        -0.17         0.32        -0.47         0.35        -0.74
Teq (K)           1334.          96.         103.        -101.         187.        -184.         237.        -256.

T0 (BJD-2454900)   196.          12.          11.         -13.          25.         -24.          37.         -40.
Period (days)      122.6          1.8          1.8         -1.9          3.6         -4.0          5.7         -4.6
e cos w              0.08         0.19         0.18        -0.19         0.36        -0.45         0.48        -0.60
e sin w              0.09         0.15         0.12        -0.18         0.31        -0.32         0.58        -0.50
K (m/s)              9.7          1.5          1.3         -1.7          3.1         -3.1          5.1         -4.3
Mp (Mearth)         90.          14.          12.         -16.          29.         -28.          48.         -41.
a/R*                84.25         0.91         0.82        -1.03         1.78        -1.96         2.66        -2.44
a (AU)               0.5117       0.0099       0.0086      -0.0122       0.0184      -0.0231       0.0300      -0.0318
Teq (K)            494.          36.          37.         -39.          67.         -71.          89.         -90.

------
KOI245
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.803        0.067        0.058       -0.082        0.133       -0.138        0.206       -0.209
R* (Rsun)            0.772        0.026        0.022       -0.031        0.048       -0.059        0.077       -0.081
Z                    0.0200       0.0020       0.0017      -0.0024       0.0039      -0.0041       0.0060      -0.0060
Teff (K)          5417.          74.          64.         -91.         139.        -171.         226.        -224.
L (Lsun)             1.000        0.099        0.099       -0.104        0.197       -0.204        0.299       -0.313
Age (Gyr)            5.000        0.098        0.085       -0.121        0.183       -0.229        0.300       -0.296
log(g) (cgs)         4.566        0.046        0.046       -0.050        0.092       -0.097        0.138       -0.152
rhostar (g/cm^3)     2.458        0.045        0.044       -0.049        0.089       -0.097        0.135       -0.139

gamma (m/s)          0.17         0.67         0.64        -0.72         1.32        -1.41         2.00        -2.13
Phot zpt (ppm)       0.43         0.45         0.36        -0.58         0.92        -0.97         1.36        -1.46

T0 (BJD-2454900)   108.24949      0.00032      0.00027     -0.00040      0.00066     -0.00068      0.00099     -0.00110
Period (days)       39.792213     0.000021     0.000021    -0.000021     0.000042    -0.000043     0.000062    -0.000064
b                    0.5332       0.0084       0.0088      -0.0082       0.0157      -0.0190       0.0224      -0.0320
Rp/R*                0.023068     0.000054     0.000055    -0.000057     0.000110    -0.000113     0.000164    -0.000177
K (m/s)             -1.33         0.90         0.79        -1.08         1.71        -2.06         2.69        -3.11
Mp (Mearth)         -6.0          4.1          4.1         -4.3          7.6         -9.5         12.2        -13.5
Rp (Rearth)          1.944        0.065        0.056       -0.080        0.132       -0.131        0.193       -0.206
i (deg)             89.482        0.024        0.024       -0.025        0.047       -0.051        0.068       -0.083
a/R*                59.07         0.34         0.32        -0.39         0.69        -0.68         1.03        -1.00
a (AU)               0.2120       0.0059       0.0055      -0.0067       0.0115      -0.0124       0.0171      -0.0197
Tdepth (ppm)       603.1          2.1          1.8         -2.5          4.0         -4.8          6.5         -6.9
rho_p (g/cm^3)      -4.6          3.2          3.2         -3.3          6.4         -6.8          9.5        -11.2
log(g)_p (cgs)       2.64         0.43         0.51        -0.32         0.57        -1.31         0.80        -1.69
Teq (K)            510.          38.          38.         -43.          71.         -78.          99.        -104.

T0 (BJD-2454900)   124.8370       0.0015       0.0015      -0.0015       0.0029      -0.0033       0.0044      -0.0050
Period (days)       21.302004     0.000050     0.000050    -0.000053     0.000099    -0.000106     0.000151    -0.000160
b                    0.435        0.024        0.022       -0.027        0.047       -0.053        0.072       -0.083
Rp/R*                0.008909     0.000092     0.000078    -0.000110     0.000189    -0.000190     0.000289    -0.000283
K (m/s)              0.92         1.09         0.96        -1.28         2.09        -2.46         3.50        -3.57
Mp (Mearth)          3.4          4.0          4.1         -4.1          7.5         -9.4         12.4        -12.8
Rp (Rearth)          0.751        0.026        0.022       -0.032        0.053       -0.053        0.080       -0.080
i (deg)             89.360        0.045        0.045       -0.047        0.083       -0.106        0.139       -0.147
a/R*                38.94         0.23         0.21        -0.26         0.46        -0.45         0.68        -0.66
a (AU)               0.1398       0.0039       0.0036      -0.0044       0.0076      -0.0082       0.0113      -0.0130
Tdepth (ppm)        91.8          1.7          1.7         -1.8          3.4         -3.6          5.4         -5.2
rho_p (g/cm^3)      44.          54.          45.         -67.         110.        -112.         176.        -172.
log(g)_p (cgs)       3.90         0.31         0.31        -0.31         0.48        -0.92         0.59        -1.26
Teq (K)            628.          47.          49.         -49.          91.         -90.         123.        -122.

T0 (BJD-2454900)   117.0355       0.0096       0.0080      -0.0124       0.0196      -0.0180       0.0277      -0.0282
Period (days)       13.36751      0.00018      0.00016     -0.00023      0.00035     -0.00038      0.00049     -0.00058
b                    0.48         0.13         0.13        -0.12         0.19        -0.40         0.23        -0.48
Rp/R*                0.00383      0.00021      0.00022     -0.00023      0.00041     -0.00045      0.00066     -0.00063
K (m/s)             -0.14         0.91         0.92        -0.96         1.82        -1.89         2.77        -2.81
Mp (Mearth)         -0.4          2.9          2.8         -3.0          5.7         -6.0          8.8         -9.1
Rp (Rearth)          0.323        0.021        0.018       -0.026        0.043       -0.042        0.065       -0.062
i (deg)             89.03         0.28         0.19        -0.32         0.74        -0.44         0.97        -0.49
a/R*                28.54         0.17         0.15        -0.19         0.34        -0.33         0.50        -0.48
a (AU)               0.1025       0.0028       0.0026      -0.0032       0.0056      -0.0060       0.0083      -0.0096
Tdepth (ppm)        16.0          1.6          1.6         -1.7          3.3         -3.2          4.9         -4.9
 Type <RETURN> for next page: 
rho_p (g/cm^3)     -70.         490.         474.        -506.        1036.        *****        1614.        *****
log(g)_p (cgs)       4.25         0.40         0.45        -0.33         0.64        -1.00         0.73        -1.56
Teq (K)            733.          54.          56.         -59.         104.        -110.         144.        -147.

------
KOI261
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.995        0.023        0.021       -0.025        0.045       -0.047        0.069       -0.068
R* (Rsun)            1.017        0.083        0.059       -0.107        0.193       -0.131        0.312       -0.147
Z                    0.0198       0.0017       0.0015      -0.0019       0.0034      -0.0034       0.0049      -0.0048
Teff (K)          5691.          43.          44.         -45.          81.        -102.         126.        -140.
L (Lsun)             0.97         0.17         0.12        -0.20         0.40        -0.27         0.64        -0.31
Age (Gyr)            5.9          2.7          3.0         -2.8          3.7         -5.9          5.3         -5.9
log(g) (cgs)         4.417        0.075        0.087       -0.072        0.119       -0.167        0.135       -0.299
rhostar (g/cm^3)     1.32         0.33         0.34        -0.38         0.61        -0.59         0.70        -0.93

gamma (m/s)         -0.15         0.73         0.71        -0.80         1.41        -1.57         2.15        -2.34
Phot zpt (ppm)       0.02         0.98         0.99        -1.03         1.81        -2.30         2.87        -3.38

T0 (BJD-2454900)   104.01895      0.00030      0.00030     -0.00032      0.00064     -0.00060      0.00092     -0.00095
Period (days)       16.2384739    0.0000079    0.0000070   -0.0000093    0.0000159   -0.0000167    0.0000236   -0.0000251
b                    0.545        0.070        0.068       -0.081        0.132       -0.133        0.195       -0.158
Rp/R*                0.02397      0.00031      0.00022     -0.00039      0.00071     -0.00050      0.00108     -0.00065
K (m/s)              2.10         0.84         0.82        -0.89         1.67        -1.81         2.52        -2.57
Mp (Mearth)          8.5          3.4          2.9         -4.3          7.1         -7.0         10.2        -11.8
Rp (Rearth)          2.67         0.22         0.16        -0.28         0.51        -0.36         0.83        -0.40
i (deg)             88.81         0.18         0.20        -0.18         0.33        -0.41         0.40        -0.73
a/R*                27.8          1.5          1.8         -1.2          2.2         -4.0          2.8         -5.8
a (AU)               0.12529      0.00095      0.00090     -0.00104      0.00189     -0.00191      0.00283     -0.00288
Tdepth (ppm)       647.7          2.5          2.5         -2.7          5.0         -5.4          7.7         -8.2
rho_p (g/cm^3)       2.26         1.11         0.89        -1.38         2.50        -2.08         3.88        -3.11
log(g)_p (cgs)       3.05         0.19         0.21        -0.17         0.34        -0.48         0.41        -0.74
Teq (K)            804.          66.          63.         -76.         128.        -138.         201.        -172.

------
KOI292
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.939        0.025        0.024       -0.027        0.048       -0.052        0.070       -0.082
R* (Rsun)            0.977        0.085        0.063       -0.106        0.198       -0.140        0.320       -0.167
Z                    0.01181      0.00102      0.00099     -0.00111      0.00207     -0.00211      0.00314     -0.00311
Teff (K)          5779.          43.          39.         -51.          87.         -89.         128.        -136.
L (Lsun)             0.95         0.17         0.13        -0.21         0.42        -0.29         0.66        -0.34
Age (Gyr)            6.8          3.0          3.5         -2.7          4.1         -6.8          5.9         -6.8
log(g) (cgs)         4.427        0.081        0.097       -0.074        0.132       -0.174        0.151       -0.293
rhostar (g/cm^3)     1.40         0.37         0.34        -0.48         0.71        -0.65         0.86        -0.90

gamma (m/s)         -4.2          8.4          8.6         -8.4         14.8        -20.3         21.8        -27.6
Phot zpt (ppm)      -1.7          1.4          1.2         -1.7          2.8         -2.9          4.1         -4.3

T0 (BJD-2454900)   104.84106      0.00078      0.00071     -0.00092      0.00150     -0.00175      0.00243     -0.00243
Period (days)        2.5866425    0.0000034    0.0000033   -0.0000036    0.0000062   -0.0000077    0.0000102   -0.0000102
b                    0.41         0.16         0.17        -0.16         0.22        -0.41         0.29        -0.41
Rp/R*                0.01380      0.00024      0.00021     -0.00028      0.00053     -0.00043      0.00087     -0.00056
K (m/s)              1.65         0.90         0.91        -0.93         1.67        -2.07         2.70        -3.01
Mp (Mearth)          3.5          1.9          1.6         -2.4          3.6         -4.5          6.1         -6.2
Rp (Rearth)          1.477        0.132        0.100       -0.165        0.303       -0.220        0.488       -0.254
i (deg)             87.0          1.2          1.1         -1.4          2.8         -1.9          3.0         -2.8
a/R*                 8.15         0.57         0.79        -0.37         0.92        -1.16         1.03        -1.78
a (AU)               0.03611      0.00032      0.00029     -0.00036      0.00061     -0.00068      0.00091     -0.00104
Tdepth (ppm)       224.6          3.5          3.0         -4.2          6.5         -8.0         10.6        -11.0
rho_p (g/cm^3)       5.4          3.5          3.1         -3.9          7.7         -7.2         12.8        -10.0
log(g)_p (cgs)       3.19         0.23         0.23        -0.24         0.42        -0.59         0.48        -0.92
Teq (K)           1490.         125.         119.        -142.         254.        -245.         378.        -324.

T0 (BJD-2454900)  1377.         453.         468.        -473.         560.        *****         664.        *****
K (m/s)             11.4          4.1          3.1         -4.4         12.0         -6.1         16.2         -6.8
Mp (Mearth)        294.         107.          78.        -116.         310.        -160.         424.        -175.
a/R*              1174.          82.         113.         -53.         133.        -167.         148.        -257.
a (AU)               5.199        0.045        0.042       -0.051        0.088       -0.098        0.132       -0.150
Teq (K)            124.2         10.4          9.9        -11.7         21.2        -20.4         31.7        -27.1


------
KOI305
------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.788        0.034        0.033       -0.036        0.067       -0.072        0.106       -0.102
R* (Rsun)            0.732        0.039        0.035       -0.045        0.083       -0.080        0.129       -0.116
Z                    0.0267       0.0022       0.0022      -0.0022       0.0043      -0.0044       0.0064      -0.0065
Teff (K)          4782.         114.         110.        -124.         235.        -231.         343.        -347.
L (Lsun)             0.251        0.049        0.040       -0.060        0.109       -0.094        0.178       -0.121
Age (Gyr)            6.8          4.0          4.1         -5.1          6.5         -6.7          7.2         -6.7
log(g) (cgs)         4.607        0.036        0.040       -0.034        0.067       -0.076        0.093       -0.117
rhostar (g/cm^3)     2.84         0.38         0.37        -0.40         0.77        -0.78         1.22        -1.08

rhostar (g/cm^3)     2.86         0.23         0.27        -0.17         0.28        -0.67         0.38        -0.93
gamma (m/s)         -0.18         0.56         0.54        -0.61         1.14        -1.14         1.63        -1.78
Phot zpt (ppm)      -0.1          1.9          1.7         -2.4          3.8         -4.1          6.0         -6.0

T0 (BJD-2454900)   104.83880      0.00063      0.00059     -0.00071      0.00123     -0.00137      0.00181     -0.00190
Period (days)        4.6035795    0.0000048    0.0000048   -0.0000050    0.0000095   -0.0000101    0.0000138   -0.0000150
b                    0.21         0.13         0.11        -0.17         0.22        -0.21         0.32        -0.21
Rp/R*                0.01848      0.00020      0.00015     -0.00025      0.00050     -0.00035      0.00076     -0.00044
K (m/s)              2.91         0.62         0.63        -0.65         1.20        -1.36         1.86        -1.85
Mp (Mearth)          6.1          1.3          1.3         -1.4          2.7         -2.7          4.1         -4.0
Rp (Rearth)          1.479        0.081        0.079       -0.087        0.173       -0.162        0.271       -0.234
i (deg)             89.20         0.49         0.62        -0.47         0.80        -0.87         0.80        -1.24
a/R*                14.74         0.40         0.37        -0.39         0.53        -1.13         0.64        -1.61
a (AU)               0.05003      0.00071      0.00060     -0.00090      0.00136     -0.00155      0.00213     -0.00224
Tdepth (ppm)       433.9          4.8          4.8         -5.1          9.4         -9.9         14.5        -15.1
rho_p (g/cm^3)      10.9          2.8          2.5         -3.2          6.1         -5.5          9.7         -7.6
log(g)_p (cgs)       3.460        0.101        0.112       -0.094        0.194       -0.227        0.246       -0.405
Teq (K)            902.          74.          72.         -82.         142.        -156.         210.        -211.

-------
KOI1612
-------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            1.079        0.068        0.069       -0.071        0.138       -0.138        0.207       -0.210
R* (Rsun)            1.225        0.027        0.027       -0.028        0.054       -0.054        0.080       -0.085
Z                    0.0200       0.0020       0.0020      -0.0021       0.0039      -0.0041       0.0058      -0.0062
Teff (K)          6104.          73.          72.         -78.         144.        -153.         221.        -224.
L (Lsun)             1.0000       0.0098       0.0098      -0.0104       0.0196      -0.0206       0.0299      -0.0301
Age (Gyr)            5.00         0.49         0.43        -0.59         0.92        -1.11         1.49        -1.55
log(g) (cgs)         4.294        0.033        0.033       -0.036        0.065       -0.071        0.098       -0.109
rhostar (g/cm^3)     0.8219       0.0099       0.0085      -0.0124       0.0199      -0.0205       0.0303      -0.0304

gamma (m/s)         -0.07         0.96         0.95        -1.02         1.79        -2.23         2.95        -2.93
Phot zpt (ppm)       0.13         0.37         0.33        -0.45         0.74        -0.75         1.10        -1.14

T0 (BJD-2454900)    65.6791       0.0016       0.0015      -0.0017       0.0033      -0.0032       0.0048      -0.0048
Period (days)        2.4650240    0.0000062    0.0000053   -0.0000076    0.0000125   -0.0000125    0.0000189   -0.0000187
b                    0.9175       0.0081       0.0074      -0.0092       0.0157      -0.0188       0.0210      -0.0324
Rp/R*                0.00614      0.00019      0.00020     -0.00019      0.00037     -0.00041      0.00058     -0.00061
K (m/s)              0.2          1.3          1.4         -1.3          2.5         -2.9          4.0         -4.0
Mp (Mearth)          0.5          3.2          3.3         -3.3          6.4         -6.8          9.6         -9.5
Rp (Rearth)          0.820        0.031        0.027       -0.038        0.058       -0.073        0.097       -0.095
i (deg)             81.79         0.26         0.26        -0.27         0.52        -0.56         0.73        -0.91
a/R*                 6.416        0.025        0.023       -0.029        0.047       -0.059        0.074       -0.077
a (AU)               0.03663      0.00078      0.00079     -0.00080      0.00152     -0.00166      0.00212     -0.00267
Tdepth (ppm)        30.2          1.5          1.6         -1.6          3.1         -3.2          4.6         -4.7
rho_p (g/cm^3)       4.          30.          30.         -31.          61.         -61.          92.         -95.
log(g)_p (cgs)       3.52         0.38         0.39        -0.35         0.63        -0.97         0.67        -1.51
Teq (K)           1740.         126.         122.        -148.         233.        -260.         310.        -342.

-------
KOI1925
-------

     Parameter       Median       Stdev       +1 sig       -1 sig       +2 sig       -2 sig       +3 sig       -3 sig     
 -------------------------------------------------------------------------------------------------------------------------
M* (Msun)            0.918        0.056        0.050       -0.068        0.105       -0.129        0.174       -0.170
R* (Rsun)            0.893        0.018        0.016       -0.021        0.036       -0.036        0.052       -0.060
Z                    0.0200       0.0020       0.0017      -0.0024       0.0037      -0.0045       0.0060      -0.0062
Teff (K)          5460.          74.          64.         -91.         149.        -153.         223.        -234.
L (Lsun)             0.999        0.099        0.099       -0.103        0.200       -0.200        0.297       -0.310
Age (Gyr)            5.00         0.49         0.42        -0.61         1.00        -1.00         1.43        -1.68
log(g) (cgs)         4.498        0.032        0.032       -0.033        0.058       -0.074        0.093       -0.104
rhostar (g/cm^3)     1.8106       0.0032       0.0031      -0.0035       0.0063      -0.0069       0.0099      -0.0098

gamma (m/s)         -0.25         0.77         0.66        -0.95         1.43        -1.79         2.38        -2.36
Phot zpt (ppm)       0.57         1.11         0.95        -1.37         2.22        -2.33         3.37        -3.54

T0 (BJD-2454900)   112.0817       0.0022       0.0022      -0.0023       0.0041      -0.0051       0.0065      -0.0070
Period (days)       68.95840      0.00023      0.00024     -0.00024      0.00048     -0.00048      0.00068     -0.00080
b                    0.9033       0.0051       0.0051      -0.0053       0.0093      -0.0120       0.0145      -0.0176
Rp/R*                0.01222      0.00023      0.00020     -0.00029      0.00043     -0.00055      0.00071     -0.00072
K (m/s)              0.5          1.0          1.1         -1.1          1.9         -2.4          3.1         -3.3
Mp (Mearth)          2.7          6.2          6.3         -6.4         11.4        -14.5         18.7        -19.7
Rp (Rearth)          1.191        0.033        0.028       -0.041        0.067       -0.066        0.102       -0.100
i (deg)             89.327        0.020        0.020       -0.020        0.039       -0.041        0.055       -0.068
